<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010103,43400,114.55,114.55,114.55,114.55,4
20010103,43500,114.55,114.56,114.55,114.56,4
20010103,43600,114.56,114.56,114.56,114.56,4
20010103,43700,114.56,114.56,114.56,114.56,4
20010103,43800,114.56,114.56,114.56,114.56,4
20010103,43900,114.56,114.56,114.56,114.56,4
20010103,44000,114.56,114.56,114.55,114.56,4
20010103,44100,114.55,114.55,114.54,114.54,4
20010103,44200,114.54,114.54,114.54,114.54,4
20010103,44300,114.54,114.54,114.54,114.54,4
20010103,44400,114.54,114.54,114.53,114.53,4
20010103,44500,114.53,114.53,114.53,114.53,4
20010103,44600,114.53,114.53,114.53,114.53,4
20010103,44700,114.53,114.53,114.53,114.53,4
20010103,44800,114.53,114.53,114.53,114.53,4
20010103,44900,114.53,114.55,114.53,114.54,4
20010103,45000,114.54,114.54,114.54,114.54,4
20010103,45100,114.54,114.54,114.54,114.54,4
20010103,45200,114.54,114.56,114.54,114.56,4
20010103,45300,114.56,114.56,114.56,114.56,4
20010103,45400,114.56,114.56,114.56,114.56,4
20010103,45500,114.55,114.55,114.54,114.54,4
20010103,45600,114.54,114.54,114.54,114.54,4
20010103,45700,114.54,114.54,114.54,114.54,4
20010103,45800,114.54,114.54,114.54,114.54,4
20010103,45900,114.54,114.54,114.53,114.53,4
20010103,50000,114.53,114.54,114.53,114.53,4
20010103,50100,114.53,114.53,114.53,114.53,4
20010103,50200,114.53,114.53,114.53,114.53,4
20010103,50300,114.53,114.53,114.53,114.53,4
20010103,50400,114.53,114.54,114.53,114.54,4
20010103,50500,114.54,114.54,114.54,114.54,4
20010103,50600,114.54,114.54,114.54,114.54,4
20010103,50700,114.54,114.54,114.54,114.54,4
20010103,50800,114.54,114.54,114.54,114.54,4
20010103,50900,114.54,114.54,114.53,114.53,4
20010103,51000,114.53,114.53,114.53,114.53,4
20010103,51100,114.53,114.53,114.53,114.53,4
20010103,51200,114.53,114.53,114.53,114.53,4
20010103,51300,114.53,114.53,114.53,114.53,4
20010103,51400,114.53,114.53,114.53,114.53,4
20010103,51500,114.53,114.53,114.53,114.53,4
20010103,51600,114.53,114.53,114.53,114.53,4
20010103,51700,114.53,114.53,114.53,114.53,4
20010103,51800,114.53,114.53,114.53,114.53,4
20010103,51900,114.54,114.54,114.54,114.54,4
20010103,52000,114.54,114.54,114.54,114.54,4
20010103,52100,114.54,114.54,114.54,114.54,4
20010103,52200,114.54,114.55,114.54,114.54,4
20010103,52300,114.54,114.54,114.54,114.54,4
20010103,52400,114.54,114.56,114.54,114.55,4
20010103,52500,114.56,114.56,114.55,114.56,4
20010103,52600,114.56,114.56,114.56,114.56,4
20010103,52700,114.56,114.56,114.56,114.56,4
20010103,52800,114.56,114.56,114.56,114.56,4
20010103,53000,114.55,114.56,114.55,114.56,4
20010103,53200,114.56,114.56,114.56,114.56,4
20010103,53300,114.56,114.56,114.56,114.56,4
20010103,53400,114.56,114.56,114.56,114.56,4
20010103,53500,114.56,114.56,114.56,114.56,4
20010103,53600,114.56,114.56,114.56,114.56,4
20010103,53700,114.56,114.56,114.56,114.56,4
20010103,53800,114.56,114.56,114.56,114.56,4
20010103,53900,114.56,114.56,114.56,114.56,4
20010103,54000,114.56,114.56,114.56,114.56,4
20010103,54100,114.56,114.56,114.56,114.56,4
20010103,54200,114.56,114.56,114.56,114.56,4
20010103,54300,114.56,114.56,114.56,114.56,4
20010103,54400,114.56,114.56,114.56,114.56,4
20010103,54500,114.56,114.56,114.56,114.56,4
20010103,54800,114.56,114.56,114.56,114.56,4
20010103,55000,114.55,114.55,114.54,114.54,4
20010103,55100,114.54,114.54,114.54,114.54,4
20010103,55200,114.54,114.54,114.54,114.54,4
20010103,55400,114.54,114.54,114.54,114.54,4
20010103,55500,114.54,114.54,114.54,114.54,4
20010103,55600,114.54,114.54,114.54,114.54,4
20010103,55700,114.54,114.54,114.54,114.54,4
20010103,55800,114.54,114.54,114.54,114.54,4
20010103,55900,114.54,114.54,114.54,114.54,4
20010103,60000,114.54,114.54,114.54,114.54,4
20010103,60100,114.54,114.55,114.54,114.54,4
20010103,60200,114.54,114.54,114.54,114.54,4
20010103,60300,114.54,114.54,114.54,114.54,4
20010103,60400,114.54,114.54,114.54,114.54,4
20010103,60500,114.54,114.54,114.54,114.54,4
20010103,60600,114.54,114.54,114.54,114.54,4
20010103,60700,114.54,114.54,114.54,114.54,4
20010103,60800,114.54,114.54,114.54,114.54,4
20010103,60900,114.56,114.56,114.56,114.56,4
20010103,61000,114.54,114.54,114.54,114.54,4
20010103,61100,114.54,114.54,114.54,114.54,4
20010103,61200,114.54,114.54,114.54,114.54,4
20010103,61300,114.53,114.53,114.52,114.52,4
20010103,61400,114.53,114.53,114.53,114.53,4
20010103,61500,114.53,114.53,114.53,114.53,4
20010103,61600,114.53,114.53,114.53,114.53,4
20010103,61700,114.53,114.53,114.53,114.53,4
20010103,61800,114.53,114.53,114.5,114.5,4
20010103,61900,114.51,114.51,114.5,114.5,4
20010103,62000,114.5,114.5,114.5,114.5,4
20010103,62100,114.5,114.5,114.5,114.5,4
20010103,62200,114.5,114.5,114.5,114.5,4
20010103,62300,114.5,114.5,114.5,114.5,4
20010103,62400,114.5,114.51,114.5,114.51,4
20010103,62500,114.51,114.51,114.51,114.51,4
20010103,62600,114.51,114.51,114.51,114.51,4
20010103,62700,114.51,114.51,114.51,114.51,4
20010103,62800,114.51,114.51,114.51,114.51,4
20010103,62900,114.51,114.51,114.5,114.5,4
20010103,63000,114.51,114.51,114.51,114.51,4
20010103,63100,114.51,114.51,114.51,114.51,4
20010103,63200,114.51,114.51,114.51,114.51,4
20010103,63300,114.51,114.51,114.51,114.51,4
20010103,63400,114.51,114.51,114.51,114.51,4
20010103,63500,114.51,114.51,114.5,114.5,4
20010103,63600,114.49,114.5,114.49,114.5,4
20010103,63700,114.49,114.51,114.48,114.51,4
20010103,63800,114.5,114.51,114.5,114.5,4
20010103,63900,114.5,114.5,114.5,114.5,4
20010103,64000,114.5,114.5,114.5,114.5,4
20010103,64200,114.5,114.5,114.5,114.5,4
20010103,64300,114.5,114.5,114.5,114.5,4
20010103,64400,114.5,114.5,114.5,114.5,4
20010103,64500,114.5,114.5,114.5,114.5,4
20010103,64600,114.5,114.5,114.5,114.5,4
20010103,64700,114.5,114.53,114.5,114.52,4
20010103,64800,114.52,114.53,114.52,114.53,4
20010103,64900,114.53,114.53,114.53,114.53,4
20010103,65000,114.53,114.53,114.53,114.53,4
20010103,65100,114.53,114.53,114.53,114.53,4
20010103,65200,114.53,114.53,114.53,114.53,4
20010103,65300,114.53,114.53,114.53,114.53,4
20010103,65400,114.53,114.53,114.53,114.53,4
20010103,65500,114.53,114.53,114.53,114.53,4
20010103,65600,114.53,114.53,114.53,114.53,4
20010103,65700,114.53,114.53,114.53,114.53,4
20010103,65800,114.53,114.53,114.53,114.53,4
20010103,65900,114.53,114.53,114.53,114.53,4
20010103,70000,114.53,114.53,114.53,114.53,4
20010103,70100,114.54,114.55,114.53,114.53,4
20010103,70200,114.54,114.54,114.54,114.54,4
20010103,70300,114.54,114.54,114.53,114.54,4
20010103,70400,114.56,114.56,114.56,114.56,4
20010103,70500,114.56,114.56,114.56,114.56,4
20010103,70600,114.56,114.57,114.56,114.56,4
20010103,70700,114.56,114.58,114.56,114.58,4
20010103,70800,114.58,114.6,114.58,114.59,4
20010103,70900,114.59,114.6,114.59,114.59,4
20010103,71000,114.59,114.59,114.58,114.58,4
20010103,71100,114.58,114.58,114.53,114.54,4
20010103,71200,114.55,114.56,114.54,114.54,4
20010103,71300,114.53,114.53,114.53,114.53,4
20010103,71400,114.53,114.55,114.52,114.54,4
20010103,71500,114.53,114.53,114.52,114.53,4
20010103,71600,114.52,114.53,114.52,114.53,4
20010103,71700,114.52,114.55,114.52,114.55,4
20010103,71800,114.54,114.55,114.54,114.54,4
20010103,71900,114.54,114.55,114.53,114.55,4
20010103,72000,114.54,114.54,114.52,114.52,4
20010103,72100,114.51,114.51,114.49,114.49,4
20010103,72200,114.49,114.49,114.47,114.47,4
20010103,72300,114.47,114.47,114.45,114.45,4
20010103,72400,114.45,114.46,114.45,114.46,4
20010103,72500,114.46,114.47,114.46,114.46,4
20010103,72600,114.45,114.45,114.44,114.44,4
20010103,72700,114.43,114.44,114.41,114.42,4
20010103,72800,114.41,114.42,114.39,114.4,4
20010103,72900,114.39,114.41,114.39,114.4,4
20010103,73000,114.4,114.41,114.39,114.4,4
20010103,73100,114.4,114.42,114.4,114.42,4
20010103,73200,114.43,114.44,114.42,114.42,4
20010103,73300,114.42,114.45,114.42,114.43,4
20010103,73400,114.43,114.43,114.41,114.42,4
20010103,73500,114.42,114.44,114.42,114.44,4
20010103,73600,114.44,114.44,114.42,114.43,4
20010103,73700,114.44,114.46,114.44,114.45,4
20010103,73800,114.45,114.46,114.44,114.44,4
20010103,73900,114.44,114.45,114.43,114.43,4
20010103,74000,114.44,114.44,114.44,114.44,4
20010103,74100,114.45,114.45,114.44,114.45,4
20010103,74200,114.45,114.47,114.44,114.47,4
20010103,74300,114.47,114.47,114.46,114.46,4
20010103,74400,114.45,114.47,114.44,114.44,4
20010103,74500,114.42,114.42,114.39,114.4,4
20010103,74600,114.4,114.4,114.4,114.4,4
20010103,74700,114.4,114.41,114.4,114.4,4
20010103,74800,114.41,114.41,114.39,114.39,4
20010103,74900,114.38,114.4,114.38,114.4,4
20010103,75000,114.4,114.42,114.4,114.42,4
20010103,75100,114.42,114.43,114.41,114.41,4
20010103,75200,114.42,114.42,114.42,114.42,4
20010103,75300,114.43,114.44,114.43,114.43,4
20010103,75400,114.43,114.48,114.43,114.46,4
20010103,75500,114.47,114.48,114.47,114.47,4
20010103,75600,114.47,114.51,114.47,114.5,4
20010103,75700,114.51,114.54,114.51,114.53,4
20010103,75800,114.51,114.53,114.51,114.53,4
20010103,75900,114.54,114.56,114.53,114.55,4
20010103,80000,114.54,114.58,114.54,114.57,4
20010103,80100,114.56,114.57,114.55,114.56,4
20010103,80200,114.57,114.61,114.56,114.61,4
20010103,80300,114.61,114.61,114.57,114.57,4
20010103,80400,114.57,114.58,114.57,114.58,4
20010103,80500,114.57,114.57,114.56,114.56,4
20010103,80600,114.56,114.56,114.53,114.53,4
20010103,80700,114.52,114.55,114.51,114.53,4
20010103,80800,114.53,114.53,114.5,114.5,4
20010103,80900,114.5,114.5,114.5,114.5,4
20010103,81000,114.5,114.5,114.47,114.47,4
20010103,81100,114.47,114.49,114.47,114.48,4
20010103,81200,114.48,114.5,114.48,114.48,4
20010103,81300,114.47,114.49,114.46,114.47,4
20010103,81400,114.47,114.5,114.47,114.5,4
20010103,81500,114.5,114.5,114.47,114.47,4
20010103,81600,114.46,114.49,114.46,114.48,4
20010103,81700,114.48,114.49,114.47,114.47,4
20010103,81800,114.46,114.47,114.44,114.45,4
20010103,81900,114.45,114.46,114.44,114.45,4
20010103,82000,114.44,114.47,114.44,114.45,4
20010103,82100,114.45,114.45,114.43,114.43,4
20010103,82200,114.44,114.44,114.43,114.44,4
20010103,82300,114.45,114.45,114.43,114.43,4
20010103,82400,114.42,114.45,114.42,114.45,4
20010103,82500,114.47,114.48,114.46,114.47,4
20010103,82600,114.48,114.48,114.45,114.48,4
20010103,82700,114.48,114.48,114.46,114.46,4
20010103,82800,114.45,114.48,114.45,114.47,4
20010103,82900,114.48,114.5,114.48,114.49,4
20010103,83000,114.5,114.52,114.5,114.52,4
20010103,83100,114.5,114.51,114.48,114.49,4
20010103,83200,114.48,114.52,114.48,114.5,4
20010103,83300,114.49,114.51,114.49,114.51,4
20010103,83400,114.5,114.53,114.5,114.52,4
20010103,83500,114.51,114.51,114.49,114.49,4
20010103,83600,114.49,114.5,114.47,114.48,4
20010103,83700,114.49,114.49,114.48,114.48,4
20010103,83800,114.48,114.52,114.47,114.47,4
20010103,83900,114.47,114.48,114.45,114.45,4
20010103,84000,114.46,114.47,114.45,114.45,4
20010103,84100,114.44,114.45,114.42,114.42,4
20010103,84200,114.42,114.42,114.4,114.4,4
20010103,84300,114.39,114.4,114.37,114.39,4
20010103,84400,114.4,114.42,114.4,114.41,4
20010103,84500,114.4,114.43,114.4,114.42,4
20010103,84600,114.43,114.48,114.43,114.47,4
20010103,84700,114.47,114.48,114.47,114.47,4
20010103,84800,114.46,114.46,114.44,114.45,4
20010103,84900,114.46,114.46,114.44,114.44,4
20010103,85000,114.44,114.44,114.44,114.44,4
20010103,85100,114.44,114.45,114.43,114.44,4
20010103,85200,114.44,114.44,114.44,114.44,4
20010103,85300,114.44,114.44,114.4,114.4,4
20010103,85400,114.39,114.42,114.39,114.42,4
20010103,85500,114.41,114.42,114.4,114.41,4
20010103,85600,114.4,114.41,114.4,114.41,4
20010103,85700,114.4,114.4,114.39,114.4,4
20010103,85800,114.41,114.45,114.41,114.45,4
20010103,85900,114.45,114.45,114.44,114.44,4
20010103,90000,114.44,114.44,114.44,114.44,4
20010103,90100,114.43,114.44,114.42,114.44,4
20010103,90200,114.44,114.44,114.44,114.44,4
20010103,90300,114.44,114.45,114.44,114.45,4
20010103,90400,114.44,114.44,114.43,114.43,4
20010103,90500,114.42,114.42,114.4,114.4,4
20010103,90600,114.39,114.39,114.38,114.38,4
20010103,90700,114.39,114.39,114.39,114.39,4
20010103,90800,114.39,114.39,114.39,114.39,4
20010103,90900,114.39,114.41,114.39,114.41,4
20010103,91000,114.42,114.49,114.42,114.49,4
20010103,91100,114.5,114.51,114.5,114.51,4
20010103,91200,114.51,114.51,114.49,114.49,4
20010103,91300,114.47,114.47,114.46,114.46,4
20010103,91400,114.47,114.47,114.45,114.45,4
20010103,91500,114.45,114.45,114.45,114.45,4
20010103,91600,114.47,114.47,114.46,114.47,4
20010103,91700,114.47,114.48,114.47,114.48,4
20010103,91800,114.48,114.48,114.48,114.48,4
20010103,91900,114.48,114.48,114.48,114.48,4
20010103,92000,114.48,114.48,114.47,114.47,4
20010103,92100,114.47,114.47,114.45,114.45,4
20010103,92200,114.45,114.46,114.45,114.46,4
20010103,92300,114.47,114.47,114.46,114.46,4
20010103,92400,114.44,114.45,114.44,114.45,4
20010103,92500,114.47,114.47,114.47,114.47,4
20010103,92600,114.47,114.47,114.47,114.47,4
20010103,92700,114.45,114.45,114.45,114.45,4
20010103,92800,114.45,114.46,114.45,114.46,4
20010103,92900,114.47,114.47,114.47,114.47,4
20010103,93200,114.47,114.49,114.47,114.49,4
20010103,93300,114.48,114.52,114.48,114.52,4
20010103,93400,114.54,114.55,114.54,114.55,4
20010103,93500,114.56,114.57,114.56,114.57,4
20010103,93600,114.56,114.58,114.56,114.58,4
20010103,93700,114.56,114.56,114.56,114.56,4
20010103,93800,114.56,114.56,114.56,114.56,4
20010103,93900,114.56,114.56,114.56,114.56,4
20010103,94000,114.56,114.56,114.56,114.56,4
20010103,94100,114.54,114.55,114.54,114.54,4
20010103,94200,114.55,114.58,114.55,114.58,4
20010103,94300,114.56,114.56,114.54,114.54,4
20010103,94400,114.53,114.53,114.53,114.53,4
20010103,94500,114.54,114.56,114.54,114.54,4
20010103,94600,114.53,114.53,114.51,114.51,4
20010103,94700,114.51,114.51,114.51,114.51,4
20010103,94800,114.51,114.53,114.51,114.53,4
20010103,94900,114.53,114.53,114.53,114.53,4
20010103,95000,114.53,114.53,114.53,114.53,4
20010103,95100,114.54,114.56,114.54,114.56,4
20010103,95200,114.56,114.56,114.56,114.56,4
20010103,95500,114.56,114.59,114.56,114.59,4
20010103,95600,114.58,114.58,114.58,114.58,4
20010103,95700,114.56,114.56,114.56,114.56,4
20010103,95800,114.58,114.59,114.58,114.59,4
20010103,95900,114.59,114.59,114.59,114.59,4
20010103,100000,114.6,114.61,114.6,114.61,4
20010103,100100,114.61,114.61,114.61,114.61,4
20010103,100200,114.61,114.64,114.61,114.64,4
20010103,100300,114.64,114.64,114.64,114.64,4
20010103,100400,114.64,114.64,114.62,114.62,4
20010103,100500,114.61,114.61,114.61,114.61,4
20010103,100600,114.61,114.62,114.61,114.62,4
20010103,100700,114.61,114.61,114.61,114.61,4
20010103,100900,114.61,114.61,114.59,114.59,4
20010103,101200,114.54,114.54,114.52,114.52,4
20010103,101300,114.51,114.54,114.51,114.54,4
20010103,101400,114.55,114.55,114.54,114.54,4
20010103,101500,114.53,114.54,114.49,114.49,4
20010103,101600,114.47,114.47,114.47,114.47,4
20010103,101700,114.47,114.47,114.47,114.47,4
20010103,101800,114.48,114.48,114.44,114.46,4
20010103,101900,114.45,114.46,114.45,114.45,4
20010103,102000,114.45,114.48,114.45,114.47,4
20010103,102100,114.47,114.47,114.47,114.47,4
20010103,102200,114.47,114.47,114.47,114.47,4
20010103,102300,114.47,114.47,114.46,114.47,4
20010103,102400,114.46,114.48,114.46,114.47,4
20010103,102500,114.47,114.47,114.46,114.47,4
20010103,102600,114.46,114.5,114.46,114.49,4
20010103,102700,114.5,114.51,114.48,114.51,4
20010103,102800,114.51,114.51,114.48,114.49,4
20010103,102900,114.48,114.49,114.48,114.48,4
20010103,103000,114.47,114.47,114.45,114.45,4
20010103,103100,114.45,114.45,114.44,114.44,4
20010103,103200,114.44,114.45,114.42,114.44,4
20010103,103300,114.43,114.43,114.41,114.41,4
20010103,103400,114.4,114.41,114.4,114.41,4
20010103,103500,114.39,114.42,114.39,114.4,4
20010103,103600,114.41,114.42,114.4,114.42,4
20010103,103700,114.42,114.42,114.42,114.42,4
20010103,103800,114.42,114.42,114.42,114.42,4
20010103,103900,114.41,114.42,114.41,114.42,4
20010103,104000,114.43,114.44,114.42,114.44,4
20010103,104100,114.43,114.44,114.43,114.44,4
20010103,104200,114.44,114.45,114.43,114.44,4
20010103,104300,114.44,114.44,114.41,114.41,4
20010103,104400,114.42,114.42,114.41,114.42,4
20010103,104500,114.42,114.44,114.42,114.43,4
20010103,104600,114.44,114.44,114.44,114.44,4
20010103,104700,114.43,114.45,114.43,114.44,4
20010103,104800,114.44,114.44,114.44,114.44,4
20010103,104900,114.44,114.45,114.44,114.45,4
20010103,105000,114.46,114.47,114.44,114.45,4
20010103,105100,114.45,114.47,114.45,114.47,4
20010103,105200,114.46,114.46,114.44,114.44,4
20010103,105300,114.44,114.44,114.43,114.44,4
20010103,105400,114.43,114.44,114.43,114.43,4
20010103,105500,114.44,114.44,114.43,114.44,4
20010103,105600,114.44,114.44,114.42,114.42,4
20010103,105700,114.42,114.42,114.39,114.39,4
20010103,105800,114.4,114.4,114.37,114.37,4
20010103,105900,114.38,114.38,114.36,114.37,4
20010103,110000,114.37,114.39,114.37,114.39,4
20010103,110100,114.39,114.39,114.36,114.36,4
20010103,110200,114.36,114.38,114.36,114.37,4
20010103,110300,114.37,114.37,114.33,114.33,4
20010103,110400,114.34,114.36,114.33,114.34,4
20010103,110500,114.34,114.36,114.34,114.36,4
20010103,110600,114.36,114.41,114.36,114.4,4
20010103,110700,114.4,114.41,114.4,114.41,4
20010103,110800,114.42,114.44,114.41,114.44,4
20010103,110900,114.45,114.45,114.41,114.42,4
20010103,111000,114.43,114.43,114.39,114.39,4
20010103,111100,114.39,114.4,114.38,114.39,4
20010103,111200,114.37,114.4,114.37,114.39,4
20010103,111300,114.39,114.4,114.39,114.4,4
20010103,111400,114.4,114.42,114.4,114.42,4
20010103,111500,114.42,114.42,114.42,114.42,4
20010103,111600,114.42,114.42,114.41,114.41,4
20010103,111700,114.42,114.43,114.42,114.42,4
20010103,111800,114.41,114.44,114.41,114.44,4
20010103,111900,114.44,114.44,114.44,114.44,4
20010103,112000,114.44,114.44,114.42,114.42,4
20010103,112100,114.42,114.46,114.42,114.46,4
20010103,112200,114.46,114.47,114.46,114.46,4
20010103,112300,114.46,114.46,114.45,114.45,4
20010103,112400,114.45,114.48,114.45,114.45,4
20010103,112500,114.46,114.46,114.43,114.44,4
20010103,112600,114.44,114.44,114.43,114.44,4
20010103,112700,114.44,114.44,114.43,114.44,4
20010103,112800,114.44,114.44,114.44,114.44,4
20010103,112900,114.44,114.45,114.44,114.44,4
20010103,113000,114.44,114.45,114.44,114.44,4
20010103,113100,114.44,114.44,114.42,114.44,4
20010103,113200,114.44,114.45,114.44,114.45,4
20010103,113300,114.44,114.45,114.44,114.45,4
20010103,113400,114.44,114.45,114.44,114.44,4
20010103,113500,114.45,114.45,114.44,114.44,4
20010103,113600,114.44,114.45,114.44,114.44,4
20010103,113700,114.44,114.46,114.44,114.45,4
20010103,113800,114.45,114.47,114.45,114.45,4
20010103,113900,114.47,114.47,114.46,114.46,4
20010103,114000,114.45,114.45,114.45,114.45,4
20010103,114100,114.45,114.45,114.44,114.44,4
20010103,114200,114.45,114.45,114.44,114.44,4
20010103,114300,114.44,114.45,114.44,114.45,4
20010103,114400,114.45,114.46,114.45,114.46,4
20010103,114500,114.47,114.48,114.46,114.47,4
20010103,114600,114.47,114.48,114.47,114.47,4
20010103,114700,114.46,114.49,114.46,114.49,4
20010103,114800,114.48,114.49,114.47,114.47,4
20010103,114900,114.47,114.47,114.46,114.47,4
20010103,115000,114.48,114.48,114.47,114.48,4
20010103,115100,114.48,114.48,114.47,114.47,4
20010103,115200,114.46,114.47,114.44,114.44,4
20010103,115300,114.44,114.44,114.43,114.43,4
20010103,115400,114.42,114.43,114.41,114.43,4
20010103,115500,114.44,114.45,114.41,114.43,4
20010103,115600,114.42,114.45,114.42,114.44,4
20010103,115700,114.44,114.44,114.42,114.43,4
20010103,115800,114.42,114.44,114.42,114.44,4
20010103,115900,114.44,114.47,114.44,114.47,4
20010103,120000,114.46,114.47,114.44,114.44,4
20010103,120100,114.43,114.44,114.41,114.42,4
20010103,120200,114.42,114.42,114.42,114.42,4
20010103,120300,114.4,114.44,114.4,114.44,4
20010103,120400,114.44,114.44,114.43,114.44,4
20010103,120500,114.43,114.44,114.43,114.44,4
20010103,120600,114.44,114.45,114.43,114.43,4
20010103,120700,114.43,114.44,114.43,114.44,4
20010103,120800,114.43,114.43,114.42,114.42,4
20010103,120900,114.42,114.44,114.42,114.42,4
20010103,121000,114.43,114.43,114.42,114.42,4
20010103,121100,114.41,114.44,114.41,114.44,4
20010103,121200,114.44,114.45,114.44,114.44,4
20010103,121300,114.44,114.44,114.44,114.44,4
20010103,121400,114.44,114.44,114.42,114.42,4
20010103,121500,114.42,114.42,114.41,114.42,4
20010103,121600,114.42,114.48,114.42,114.47,4
20010103,121700,114.46,114.51,114.46,114.49,4
20010103,121800,114.48,114.49,114.46,114.47,4
20010103,121900,114.48,114.48,114.47,114.47,4
20010103,122000,114.47,114.47,114.45,114.45,4
20010103,122100,114.43,114.45,114.41,114.41,4
20010103,122200,114.42,114.44,114.42,114.42,4
20010103,122300,114.42,114.43,114.39,114.39,4
20010103,122400,114.39,114.43,114.39,114.4,4
20010103,122500,114.41,114.41,114.39,114.39,4
20010103,122600,114.39,114.39,114.37,114.37,4
20010103,122700,114.37,114.37,114.34,114.34,4
20010103,122800,114.34,114.36,114.34,114.34,4
20010103,122900,114.34,114.34,114.3,114.3,4
20010103,123000,114.29,114.33,114.29,114.31,4
20010103,123100,114.31,114.32,114.31,114.31,4
20010103,123200,114.31,114.31,114.29,114.29,4
20010103,123300,114.29,114.31,114.29,114.31,4
20010103,123400,114.3,114.31,114.3,114.31,4
20010103,123500,114.31,114.32,114.3,114.31,4
20010103,123600,114.31,114.33,114.3,114.33,4
20010103,123700,114.33,114.34,114.33,114.34,4
20010103,123800,114.34,114.36,114.34,114.35,4
20010103,123900,114.36,114.36,114.36,114.36,4
20010103,124000,114.36,114.38,114.36,114.38,4
20010103,124100,114.37,114.37,114.36,114.37,4
20010103,124200,114.37,114.39,114.37,114.38,4
20010103,124300,114.39,114.41,114.39,114.39,4
20010103,124400,114.39,114.4,114.39,114.39,4
20010103,124500,114.39,114.4,114.39,114.39,4
20010103,124600,114.39,114.39,114.36,114.36,4
20010103,124700,114.36,114.36,114.34,114.34,4
20010103,124800,114.36,114.36,114.31,114.31,4
20010103,124900,114.32,114.33,114.3,114.31,4
20010103,125000,114.3,114.31,114.29,114.3,4
20010103,125100,114.31,114.32,114.3,114.31,4
20010103,125200,114.31,114.31,114.29,114.31,4
20010103,125300,114.3,114.31,114.29,114.29,4
20010103,125400,114.28,114.28,114.27,114.27,4
20010103,125500,114.28,114.28,114.26,114.26,4
20010103,125600,114.27,114.27,114.24,114.25,4
20010103,125700,114.24,114.24,114.22,114.23,4
20010103,125800,114.22,114.23,114.22,114.23,4
20010103,125900,114.23,114.23,114.22,114.22,4
20010103,130000,114.21,114.23,114.21,114.22,4
20010103,130100,114.22,114.22,114.19,114.22,4
20010103,130200,114.21,114.22,114.2,114.22,4
20010103,130300,114.21,114.21,114.17,114.19,4
20010103,130400,114.18,114.21,114.18,114.2,4
20010103,130500,114.19,114.2,114.14,114.14,4
20010103,130600,114.13,114.14,114.11,114.11,4
20010103,130700,114.11,114.11,114.06,114.08,4
20010103,130800,114.07,114.13,114.07,114.1,4
20010103,130900,114.11,114.14,114.11,114.11,4
20010103,131000,114.1,114.1,114.04,114.06,4
20010103,131100,114.05,114.06,114.04,114.06,4
20010103,131200,114.06,114.1,114.06,114.09,4
20010103,131300,114.1,114.12,114.08,114.12,4
20010103,131400,114.13,114.14,114.11,114.14,4
20010103,131500,114.14,114.16,114.14,114.14,4
20010103,131600,114.15,114.17,114.15,114.15,4
20010103,131700,114.15,114.17,114.15,114.17,4
20010103,131800,114.16,114.18,114.16,114.18,4
20010103,131900,114.19,114.19,114.17,114.18,4
20010103,132000,114.18,114.2,114.16,114.17,4
20010103,132100,114.16,114.17,114.14,114.15,4
20010103,132200,114.14,114.16,114.14,114.15,4
20010103,132300,114.16,114.17,114.15,114.15,4
20010103,132400,114.14,114.15,114.13,114.14,4
20010103,132500,114.14,114.15,114.14,114.14,4
20010103,132600,114.14,114.18,114.14,114.17,4
20010103,132700,114.19,114.21,114.19,114.2,4
20010103,132800,114.2,114.25,114.2,114.25,4
20010103,132900,114.26,114.27,114.25,114.27,4
20010103,133000,114.26,114.26,114.25,114.25,4
20010103,133100,114.25,114.28,114.25,114.28,4
20010103,133200,114.28,114.28,114.26,114.28,4
20010103,133300,114.28,114.31,114.28,114.31,4
20010103,133400,114.29,114.32,114.29,114.31,4
20010103,133500,114.3,114.32,114.29,114.31,4
20010103,133600,114.31,114.31,114.29,114.29,4
20010103,133700,114.3,114.3,114.28,114.28,4
20010103,133800,114.28,114.28,114.26,114.28,4
20010103,133900,114.26,114.28,114.26,114.26,4
20010103,134000,114.25,114.28,114.25,114.28,4
20010103,134100,114.28,114.28,114.25,114.25,4
20010103,134200,114.24,114.25,114.23,114.25,4
20010103,134300,114.25,114.25,114.23,114.25,4
20010103,134400,114.24,114.25,114.22,114.22,4
20010103,134500,114.22,114.22,114.22,114.22,4
20010103,134600,114.24,114.26,114.24,114.25,4
20010103,134700,114.25,114.26,114.24,114.25,4
20010103,134800,114.24,114.25,114.19,114.19,4
20010103,134900,114.19,114.2,114.19,114.19,4
20010103,135000,114.2,114.22,114.19,114.22,4
20010103,135100,114.22,114.22,114.22,114.22,4
20010103,135200,114.22,114.23,114.22,114.22,4
20010103,135300,114.21,114.21,114.18,114.19,4
20010103,135400,114.18,114.19,114.17,114.19,4
20010103,135500,114.19,114.2,114.19,114.2,4
20010103,135600,114.2,114.23,114.2,114.22,4
20010103,135700,114.22,114.23,114.22,114.23,4
20010103,135800,114.23,114.23,114.23,114.23,4
20010103,135900,114.23,114.23,114.23,114.23,4
20010103,140000,114.23,114.23,114.22,114.22,4
20010103,140100,114.21,114.22,114.19,114.19,4
20010103,140200,114.19,114.19,114.18,114.19,4
20010103,140300,114.19,114.2,114.19,114.2,4
20010103,140400,114.2,114.2,114.19,114.2,4
