<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20010102,230300,114.43,114.43,114.43,114.43,4
USDJPY,20010102,230400,114.44,114.44,114.44,114.44,4
USDJPY,20010102,230500,114.44,114.44,114.44,114.44,4
USDJPY,20010102,230700,114.44,114.44,114.44,114.44,4
USDJPY,20010102,230800,114.44,114.44,114.44,114.44,4
USDJPY,20010102,230900,114.44,114.44,114.44,114.44,4
USDJPY,20010102,231100,114.44,114.45,114.44,114.45,4
USDJPY,20010102,231200,114.45,114.45,114.45,114.45,4
USDJPY,20010102,231300,114.45,114.45,114.43,114.43,4
USDJPY,20010102,231400,114.42,114.42,114.41,114.41,4
USDJPY,20010102,231500,114.41,114.41,114.40,114.40,4
USDJPY,20010102,231600,114.40,114.40,114.39,114.39,4
USDJPY,20010102,232000,114.39,114.39,114.38,114.38,4
USDJPY,20010102,232100,114.38,114.38,114.38,114.38,4
USDJPY,20010102,232200,114.38,114.39,114.38,114.39,4
USDJPY,20010102,232300,114.39,114.39,114.39,114.39,4
USDJPY,20010102,232400,114.40,114.40,114.40,114.40,4
USDJPY,20010102,232500,114.39,114.39,114.38,114.38,4
USDJPY,20010102,232600,114.38,114.38,114.38,114.38,4
USDJPY,20010102,232700,114.38,114.38,114.38,114.38,4
USDJPY,20010102,232800,114.37,114.37,114.37,114.37,4
USDJPY,20010102,232900,114.37,114.38,114.37,114.38,4
USDJPY,20010102,233000,114.38,114.38,114.38,114.38,4
USDJPY,20010102,233100,114.38,114.38,114.38,114.38,4
USDJPY,20010102,233400,114.38,114.39,114.38,114.39,4
USDJPY,20010102,233500,114.40,114.40,114.40,114.40,4
USDJPY,20010102,233600,114.41,114.41,114.41,114.41,4
USDJPY,20010102,233700,114.40,114.40,114.40,114.40,4
USDJPY,20010102,233800,114.39,114.40,114.39,114.40,4
USDJPY,20010102,233900,114.40,114.40,114.39,114.39,4
USDJPY,20010102,234000,114.39,114.39,114.39,114.39,4
USDJPY,20010102,234100,114.39,114.39,114.39,114.39,4
USDJPY,20010102,234200,114.39,114.39,114.39,114.39,4
USDJPY,20010102,234600,114.41,114.41,114.41,114.41,4
USDJPY,20010102,234700,114.41,114.41,114.41,114.41,4
USDJPY,20010102,234800,114.40,114.40,114.40,114.40,4
USDJPY,20010102,235100,114.40,114.40,114.40,114.40,4
USDJPY,20010102,235200,114.40,114.41,114.40,114.41,4
USDJPY,20010102,235300,114.41,114.41,114.40,114.40,4
USDJPY,20010102,235400,114.40,114.40,114.40,114.40,4
USDJPY,20010102,235500,114.40,114.42,114.40,114.42,4
USDJPY,20010102,235600,114.42,114.43,114.42,114.43,4
USDJPY,20010102,235700,114.43,114.43,114.43,114.43,4
USDJPY,20010103,000000,114.42,114.42,114.42,114.42,4
USDJPY,20010103,000300,114.40,114.40,114.40,114.40,4
USDJPY,20010103,000400,114.41,114.43,114.41,114.43,4
USDJPY,20010103,000500,114.43,114.43,114.43,114.43,4
USDJPY,20010103,000600,114.43,114.43,114.43,114.43,4
USDJPY,20010103,000800,114.42,114.42,114.42,114.42,4
USDJPY,20010103,000900,114.43,114.44,114.43,114.44,4
USDJPY,20010103,001000,114.43,114.43,114.43,114.43,4
USDJPY,20010103,001100,114.42,114.44,114.42,114.44,4
USDJPY,20010103,001200,114.43,114.43,114.43,114.43,4
USDJPY,20010103,001300,114.43,114.43,114.43,114.43,4
USDJPY,20010103,001400,114.43,114.44,114.43,114.44,4
USDJPY,20010103,001600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,001700,114.44,114.44,114.42,114.42,4
USDJPY,20010103,001800,114.42,114.42,114.42,114.42,4
USDJPY,20010103,001900,114.42,114.42,114.39,114.39,4
USDJPY,20010103,002000,114.38,114.38,114.36,114.38,4
USDJPY,20010103,002100,114.38,114.38,114.38,114.38,4
USDJPY,20010103,002200,114.38,114.38,114.38,114.38,4
USDJPY,20010103,002300,114.38,114.39,114.38,114.39,4
USDJPY,20010103,002400,114.39,114.39,114.38,114.38,4
USDJPY,20010103,002500,114.37,114.39,114.37,114.39,4
USDJPY,20010103,002600,114.39,114.39,114.39,114.39,4
USDJPY,20010103,002700,114.39,114.42,114.39,114.42,4
USDJPY,20010103,002800,114.42,114.42,114.42,114.42,4
USDJPY,20010103,002900,114.42,114.42,114.42,114.42,4
USDJPY,20010103,003000,114.42,114.43,114.42,114.43,4
USDJPY,20010103,003100,114.43,114.44,114.43,114.44,4
USDJPY,20010103,003200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,003300,114.44,114.44,114.44,114.44,4
USDJPY,20010103,003400,114.44,114.44,114.44,114.44,4
USDJPY,20010103,003500,114.44,114.44,114.44,114.44,4
USDJPY,20010103,003600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,003700,114.44,114.44,114.44,114.44,4
USDJPY,20010103,003800,114.44,114.44,114.44,114.44,4
USDJPY,20010103,003900,114.43,114.43,114.42,114.42,4
USDJPY,20010103,004000,114.42,114.42,114.42,114.42,4
USDJPY,20010103,004100,114.42,114.42,114.42,114.42,4
USDJPY,20010103,004200,114.42,114.44,114.42,114.44,4
USDJPY,20010103,004300,114.44,114.44,114.44,114.44,4
USDJPY,20010103,004400,114.44,114.44,114.44,114.44,4
USDJPY,20010103,004500,114.44,114.44,114.44,114.44,4
USDJPY,20010103,004600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,004700,114.44,114.44,114.44,114.44,4
USDJPY,20010103,004800,114.44,114.44,114.44,114.44,4
USDJPY,20010103,004900,114.45,114.45,114.45,114.45,4
USDJPY,20010103,005000,114.45,114.45,114.45,114.45,4
USDJPY,20010103,005100,114.45,114.45,114.45,114.45,4
USDJPY,20010103,005200,114.46,114.47,114.46,114.47,4
USDJPY,20010103,005300,114.47,114.47,114.46,114.47,4
USDJPY,20010103,005400,114.47,114.47,114.47,114.47,4
USDJPY,20010103,005500,114.47,114.47,114.47,114.47,4
USDJPY,20010103,005600,114.47,114.47,114.43,114.44,4
USDJPY,20010103,005700,114.44,114.44,114.44,114.44,4
USDJPY,20010103,005800,114.44,114.44,114.44,114.44,4
USDJPY,20010103,005900,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010100,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010300,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010400,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010500,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010700,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010800,114.44,114.44,114.44,114.44,4
USDJPY,20010103,010900,114.45,114.45,114.44,114.44,4
USDJPY,20010103,011000,114.44,114.44,114.44,114.44,4
USDJPY,20010103,011100,114.44,114.44,114.44,114.44,4
USDJPY,20010103,011200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,011300,114.43,114.44,114.43,114.44,4
USDJPY,20010103,011400,114.44,114.44,114.44,114.44,4
USDJPY,20010103,011500,114.44,114.44,114.44,114.44,4
USDJPY,20010103,011600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,011700,114.44,114.44,114.41,114.41,4
USDJPY,20010103,011800,114.41,114.41,114.39,114.39,4
USDJPY,20010103,011900,114.39,114.40,114.39,114.40,4
USDJPY,20010103,012000,114.40,114.40,114.40,114.40,4
USDJPY,20010103,012100,114.40,114.40,114.40,114.40,4
USDJPY,20010103,012200,114.40,114.40,114.40,114.40,4
USDJPY,20010103,012300,114.40,114.40,114.40,114.40,4
USDJPY,20010103,012500,114.40,114.41,114.40,114.41,4
USDJPY,20010103,012600,114.41,114.42,114.41,114.42,4
USDJPY,20010103,012700,114.42,114.42,114.42,114.42,4
USDJPY,20010103,012800,114.42,114.42,114.42,114.42,4
USDJPY,20010103,012900,114.42,114.42,114.42,114.42,4
USDJPY,20010103,013000,114.42,114.42,114.42,114.42,4
USDJPY,20010103,013100,114.43,114.44,114.43,114.44,4
USDJPY,20010103,013200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,013300,114.44,114.44,114.44,114.44,4
USDJPY,20010103,013400,114.44,114.44,114.44,114.44,4
USDJPY,20010103,013500,114.44,114.44,114.44,114.44,4
USDJPY,20010103,013600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,013800,114.44,114.44,114.44,114.44,4
USDJPY,20010103,013900,114.45,114.45,114.45,114.45,4
USDJPY,20010103,014000,114.45,114.45,114.44,114.45,4
USDJPY,20010103,014100,114.45,114.45,114.45,114.45,4
USDJPY,20010103,014200,114.45,114.45,114.45,114.45,4
USDJPY,20010103,014300,114.45,114.45,114.45,114.45,4
USDJPY,20010103,014400,114.45,114.45,114.45,114.45,4
USDJPY,20010103,014500,114.45,114.45,114.45,114.45,4
USDJPY,20010103,014600,114.45,114.45,114.45,114.45,4
USDJPY,20010103,014700,114.45,114.45,114.45,114.45,4
USDJPY,20010103,014800,114.45,114.45,114.45,114.45,4
USDJPY,20010103,015000,114.45,114.45,114.45,114.45,4
USDJPY,20010103,015100,114.44,114.44,114.44,114.44,4
USDJPY,20010103,015200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,015400,114.44,114.44,114.44,114.44,4
USDJPY,20010103,015500,114.43,114.43,114.43,114.43,4
USDJPY,20010103,015700,114.43,114.43,114.43,114.43,4
USDJPY,20010103,015800,114.43,114.43,114.43,114.43,4
USDJPY,20010103,015900,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020000,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020100,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020300,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020400,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020500,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020700,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020800,114.44,114.44,114.44,114.44,4
USDJPY,20010103,020900,114.44,114.44,114.44,114.44,4
USDJPY,20010103,021000,114.44,114.44,114.44,114.44,4
USDJPY,20010103,021100,114.44,114.44,114.44,114.44,4
USDJPY,20010103,021200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,021400,114.44,114.44,114.44,114.44,4
USDJPY,20010103,021500,114.44,114.44,114.44,114.44,4
USDJPY,20010103,021600,114.44,114.44,114.44,114.44,4
USDJPY,20010103,021700,114.44,114.44,114.44,114.44,4
USDJPY,20010103,021800,114.44,114.44,114.44,114.44,4
USDJPY,20010103,022000,114.44,114.44,114.44,114.44,4
USDJPY,20010103,022200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,022300,114.44,114.45,114.44,114.44,4
USDJPY,20010103,022400,114.44,114.45,114.44,114.44,4
USDJPY,20010103,022500,114.44,114.44,114.44,114.44,4
USDJPY,20010103,022700,114.44,114.44,114.44,114.44,4
USDJPY,20010103,022800,114.44,114.45,114.44,114.45,4
USDJPY,20010103,022900,114.45,114.45,114.45,114.45,4
USDJPY,20010103,023000,114.45,114.45,114.44,114.44,4
USDJPY,20010103,023100,114.44,114.44,114.44,114.44,4
USDJPY,20010103,023200,114.44,114.44,114.44,114.44,4
USDJPY,20010103,023300,114.44,114.45,114.44,114.45,4
USDJPY,20010103,023400,114.45,114.45,114.45,114.45,4
USDJPY,20010103,023500,114.45,114.45,114.45,114.45,4
USDJPY,20010103,023600,114.46,114.47,114.46,114.47,4
USDJPY,20010103,023700,114.47,114.47,114.47,114.47,4
USDJPY,20010103,023800,114.47,114.47,114.47,114.47,4
USDJPY,20010103,023900,114.47,114.47,114.47,114.47,4
USDJPY,20010103,024000,114.47,114.48,114.47,114.48,4
USDJPY,20010103,024100,114.48,114.48,114.48,114.48,4
USDJPY,20010103,024200,114.48,114.48,114.48,114.48,4
USDJPY,20010103,024300,114.48,114.48,114.48,114.48,4
USDJPY,20010103,024400,114.49,114.50,114.49,114.50,4
USDJPY,20010103,024500,114.50,114.53,114.50,114.53,4
USDJPY,20010103,024600,114.53,114.54,114.53,114.54,4
USDJPY,20010103,024700,114.54,114.56,114.54,114.55,4
USDJPY,20010103,024800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,024900,114.57,114.58,114.56,114.58,4
USDJPY,20010103,025000,114.58,114.58,114.58,114.58,4
USDJPY,20010103,025100,114.57,114.57,114.56,114.56,4
USDJPY,20010103,025200,114.56,114.56,114.56,114.56,4
USDJPY,20010103,025300,114.56,114.56,114.56,114.56,4
USDJPY,20010103,025400,114.56,114.56,114.56,114.56,4
USDJPY,20010103,025500,114.56,114.58,114.56,114.58,4
USDJPY,20010103,025600,114.57,114.58,114.57,114.58,4
USDJPY,20010103,025700,114.57,114.57,114.56,114.56,4
USDJPY,20010103,025800,114.56,114.58,114.56,114.58,4
USDJPY,20010103,025900,114.57,114.57,114.56,114.56,4
USDJPY,20010103,030000,114.56,114.57,114.56,114.57,4
USDJPY,20010103,030100,114.57,114.58,114.57,114.58,4
USDJPY,20010103,030200,114.58,114.58,114.58,114.58,4
USDJPY,20010103,030300,114.58,114.58,114.58,114.58,4
USDJPY,20010103,030400,114.58,114.58,114.58,114.58,4
USDJPY,20010103,030500,114.58,114.58,114.58,114.58,4
USDJPY,20010103,030600,114.58,114.58,114.58,114.58,4
USDJPY,20010103,030700,114.58,114.58,114.56,114.56,4
USDJPY,20010103,030800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,030900,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031000,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031100,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031200,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031300,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031400,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031500,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031600,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031700,114.56,114.56,114.56,114.56,4
USDJPY,20010103,031800,114.55,114.56,114.55,114.56,4
USDJPY,20010103,031900,114.56,114.56,114.56,114.56,4
USDJPY,20010103,032000,114.56,114.56,114.56,114.56,4
USDJPY,20010103,032100,114.56,114.56,114.56,114.56,4
USDJPY,20010103,032200,114.56,114.56,114.56,114.56,4
USDJPY,20010103,032300,114.56,114.56,114.56,114.56,4
USDJPY,20010103,032500,114.56,114.56,114.56,114.56,4
USDJPY,20010103,032600,114.54,114.56,114.52,114.56,4
USDJPY,20010103,032700,114.56,114.56,114.56,114.56,4
USDJPY,20010103,032800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,032900,114.56,114.56,114.56,114.56,4
USDJPY,20010103,033000,114.56,114.56,114.56,114.56,4
USDJPY,20010103,033100,114.54,114.55,114.54,114.55,4
USDJPY,20010103,033300,114.55,114.55,114.55,114.55,4
USDJPY,20010103,033500,114.56,114.56,114.54,114.54,4
USDJPY,20010103,033600,114.54,114.54,114.54,114.54,4
USDJPY,20010103,033700,114.54,114.54,114.54,114.54,4
USDJPY,20010103,033900,114.54,114.54,114.53,114.53,4
USDJPY,20010103,034000,114.53,114.53,114.53,114.53,4
USDJPY,20010103,034100,114.53,114.53,114.53,114.53,4
USDJPY,20010103,034200,114.53,114.53,114.53,114.53,4
USDJPY,20010103,034300,114.53,114.53,114.53,114.53,4
USDJPY,20010103,034400,114.53,114.53,114.53,114.53,4
USDJPY,20010103,034500,114.53,114.53,114.53,114.53,4
USDJPY,20010103,034600,114.53,114.54,114.53,114.54,4
USDJPY,20010103,034700,114.54,114.54,114.54,114.54,4
USDJPY,20010103,034800,114.54,114.54,114.54,114.54,4
USDJPY,20010103,034900,114.54,114.54,114.54,114.54,4
USDJPY,20010103,035000,114.54,114.54,114.54,114.54,4
USDJPY,20010103,035100,114.54,114.54,114.54,114.54,4
USDJPY,20010103,035200,114.54,114.54,114.54,114.54,4
USDJPY,20010103,035300,114.54,114.54,114.54,114.54,4
USDJPY,20010103,035400,114.55,114.56,114.55,114.56,4
USDJPY,20010103,035500,114.56,114.56,114.56,114.56,4
USDJPY,20010103,035600,114.56,114.56,114.56,114.56,4
USDJPY,20010103,035700,114.56,114.56,114.56,114.56,4
USDJPY,20010103,035800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,035900,114.56,114.58,114.56,114.58,4
USDJPY,20010103,040000,114.58,114.58,114.58,114.58,4
USDJPY,20010103,040100,114.58,114.58,114.58,114.58,4
USDJPY,20010103,040200,114.58,114.58,114.58,114.58,4
USDJPY,20010103,040300,114.58,114.58,114.58,114.58,4
USDJPY,20010103,040400,114.58,114.58,114.58,114.58,4
USDJPY,20010103,040500,114.58,114.59,114.58,114.59,4
USDJPY,20010103,040600,114.60,114.60,114.58,114.58,4
USDJPY,20010103,040700,114.58,114.58,114.58,114.58,4
USDJPY,20010103,040800,114.58,114.58,114.58,114.58,4
USDJPY,20010103,040900,114.58,114.58,114.58,114.58,4
USDJPY,20010103,041000,114.58,114.58,114.58,114.58,4
USDJPY,20010103,041100,114.58,114.58,114.58,114.58,4
USDJPY,20010103,041200,114.57,114.57,114.56,114.56,4
USDJPY,20010103,041300,114.57,114.58,114.57,114.58,4
USDJPY,20010103,041400,114.58,114.58,114.58,114.58,4
USDJPY,20010103,041500,114.58,114.58,114.58,114.58,4
USDJPY,20010103,041600,114.58,114.58,114.58,114.58,4
USDJPY,20010103,041700,114.58,114.58,114.58,114.58,4
USDJPY,20010103,041800,114.58,114.58,114.56,114.56,4
USDJPY,20010103,041900,114.56,114.57,114.56,114.56,4
USDJPY,20010103,042000,114.56,114.56,114.56,114.56,4
USDJPY,20010103,042200,114.56,114.56,114.56,114.56,4
USDJPY,20010103,042300,114.56,114.56,114.56,114.56,4
USDJPY,20010103,042400,114.56,114.56,114.56,114.56,4
USDJPY,20010103,042500,114.56,114.56,114.55,114.56,4
USDJPY,20010103,042600,114.56,114.56,114.56,114.56,4
USDJPY,20010103,042700,114.56,114.56,114.56,114.56,4
USDJPY,20010103,042800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,042900,114.56,114.56,114.56,114.56,4
USDJPY,20010103,043000,114.56,114.56,114.56,114.56,4
USDJPY,20010103,043100,114.56,114.56,114.56,114.56,4
USDJPY,20010103,043200,114.56,114.56,114.56,114.56,4
USDJPY,20010103,043300,114.56,114.56,114.55,114.55,4
USDJPY,20010103,043400,114.55,114.55,114.55,114.55,4
USDJPY,20010103,043500,114.55,114.56,114.55,114.56,4
USDJPY,20010103,043600,114.56,114.56,114.56,114.56,4
USDJPY,20010103,043700,114.56,114.56,114.56,114.56,4
USDJPY,20010103,043800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,043900,114.56,114.56,114.56,114.56,4
USDJPY,20010103,044000,114.56,114.56,114.55,114.56,4
USDJPY,20010103,044100,114.55,114.55,114.54,114.54,4
USDJPY,20010103,044200,114.54,114.54,114.54,114.54,4
USDJPY,20010103,044300,114.54,114.54,114.54,114.54,4
USDJPY,20010103,044400,114.54,114.54,114.53,114.53,4
USDJPY,20010103,044500,114.53,114.53,114.53,114.53,4
USDJPY,20010103,044600,114.53,114.53,114.53,114.53,4
USDJPY,20010103,044700,114.53,114.53,114.53,114.53,4
USDJPY,20010103,044800,114.53,114.53,114.53,114.53,4
USDJPY,20010103,044900,114.53,114.55,114.53,114.54,4
USDJPY,20010103,045000,114.54,114.54,114.54,114.54,4
USDJPY,20010103,045100,114.54,114.54,114.54,114.54,4
USDJPY,20010103,045200,114.54,114.56,114.54,114.56,4
USDJPY,20010103,045300,114.56,114.56,114.56,114.56,4
USDJPY,20010103,045400,114.56,114.56,114.56,114.56,4
USDJPY,20010103,045500,114.55,114.55,114.54,114.54,4
USDJPY,20010103,045600,114.54,114.54,114.54,114.54,4
USDJPY,20010103,045700,114.54,114.54,114.54,114.54,4
USDJPY,20010103,045800,114.54,114.54,114.54,114.54,4
USDJPY,20010103,045900,114.54,114.54,114.53,114.53,4
USDJPY,20010103,050000,114.53,114.54,114.53,114.53,4
USDJPY,20010103,050100,114.53,114.53,114.53,114.53,4
USDJPY,20010103,050200,114.53,114.53,114.53,114.53,4
USDJPY,20010103,050300,114.53,114.53,114.53,114.53,4
USDJPY,20010103,050400,114.53,114.54,114.53,114.54,4
USDJPY,20010103,050500,114.54,114.54,114.54,114.54,4
USDJPY,20010103,050600,114.54,114.54,114.54,114.54,4
USDJPY,20010103,050700,114.54,114.54,114.54,114.54,4
USDJPY,20010103,050800,114.54,114.54,114.54,114.54,4
USDJPY,20010103,050900,114.54,114.54,114.53,114.53,4
USDJPY,20010103,051000,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051100,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051200,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051300,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051400,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051500,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051600,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051700,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051800,114.53,114.53,114.53,114.53,4
USDJPY,20010103,051900,114.54,114.54,114.54,114.54,4
USDJPY,20010103,052000,114.54,114.54,114.54,114.54,4
USDJPY,20010103,052100,114.54,114.54,114.54,114.54,4
USDJPY,20010103,052200,114.54,114.55,114.54,114.54,4
USDJPY,20010103,052300,114.54,114.54,114.54,114.54,4
USDJPY,20010103,052400,114.54,114.56,114.54,114.55,4
USDJPY,20010103,052500,114.56,114.56,114.55,114.56,4
USDJPY,20010103,052600,114.56,114.56,114.56,114.56,4
USDJPY,20010103,052700,114.56,114.56,114.56,114.56,4
USDJPY,20010103,052800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,053000,114.55,114.56,114.55,114.56,4
USDJPY,20010103,053200,114.56,114.56,114.56,114.56,4
USDJPY,20010103,053300,114.56,114.56,114.56,114.56,4
USDJPY,20010103,053400,114.56,114.56,114.56,114.56,4
USDJPY,20010103,053500,114.56,114.56,114.56,114.56,4
USDJPY,20010103,053600,114.56,114.56,114.56,114.56,4
USDJPY,20010103,053700,114.56,114.56,114.56,114.56,4
USDJPY,20010103,053800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,053900,114.56,114.56,114.56,114.56,4
USDJPY,20010103,054000,114.56,114.56,114.56,114.56,4
USDJPY,20010103,054100,114.56,114.56,114.56,114.56,4
USDJPY,20010103,054200,114.56,114.56,114.56,114.56,4
USDJPY,20010103,054300,114.56,114.56,114.56,114.56,4
USDJPY,20010103,054400,114.56,114.56,114.56,114.56,4
USDJPY,20010103,054500,114.56,114.56,114.56,114.56,4
USDJPY,20010103,054800,114.56,114.56,114.56,114.56,4
USDJPY,20010103,055000,114.55,114.55,114.54,114.54,4
USDJPY,20010103,055100,114.54,114.54,114.54,114.54,4
USDJPY,20010103,055200,114.54,114.54,114.54,114.54,4
USDJPY,20010103,055400,114.54,114.54,114.54,114.54,4
USDJPY,20010103,055500,114.54,114.54,114.54,114.54,4
USDJPY,20010103,055600,114.54,114.54,114.54,114.54,4
USDJPY,20010103,055700,114.54,114.54,114.54,114.54,4
USDJPY,20010103,055800,114.54,114.54,114.54,114.54,4
USDJPY,20010103,055900,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060000,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060100,114.54,114.55,114.54,114.54,4
USDJPY,20010103,060200,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060300,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060400,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060500,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060600,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060700,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060800,114.54,114.54,114.54,114.54,4
USDJPY,20010103,060900,114.56,114.56,114.56,114.56,4
USDJPY,20010103,061000,114.54,114.54,114.54,114.54,4
USDJPY,20010103,061100,114.54,114.54,114.54,114.54,4
USDJPY,20010103,061200,114.54,114.54,114.54,114.54,4
USDJPY,20010103,061300,114.53,114.53,114.52,114.52,4
USDJPY,20010103,061400,114.53,114.53,114.53,114.53,4
USDJPY,20010103,061500,114.53,114.53,114.53,114.53,4
USDJPY,20010103,061600,114.53,114.53,114.53,114.53,4
USDJPY,20010103,061700,114.53,114.53,114.53,114.53,4
USDJPY,20010103,061800,114.53,114.53,114.50,114.50,4
USDJPY,20010103,061900,114.51,114.51,114.50,114.50,4
USDJPY,20010103,062000,114.50,114.50,114.50,114.50,4
USDJPY,20010103,062100,114.50,114.50,114.50,114.50,4
USDJPY,20010103,062200,114.50,114.50,114.50,114.50,4
USDJPY,20010103,062300,114.50,114.50,114.50,114.50,4
USDJPY,20010103,062400,114.50,114.51,114.50,114.51,4
USDJPY,20010103,062500,114.51,114.51,114.51,114.51,4
USDJPY,20010103,062600,114.51,114.51,114.51,114.51,4
USDJPY,20010103,062700,114.51,114.51,114.51,114.51,4
USDJPY,20010103,062800,114.51,114.51,114.51,114.51,4
USDJPY,20010103,062900,114.51,114.51,114.50,114.50,4
USDJPY,20010103,063000,114.51,114.51,114.51,114.51,4
USDJPY,20010103,063100,114.51,114.51,114.51,114.51,4
USDJPY,20010103,063200,114.51,114.51,114.51,114.51,4
USDJPY,20010103,063300,114.51,114.51,114.51,114.51,4
USDJPY,20010103,063400,114.51,114.51,114.51,114.51,4
USDJPY,20010103,063500,114.51,114.51,114.50,114.50,4
USDJPY,20010103,063600,114.49,114.50,114.49,114.50,4
USDJPY,20010103,063700,114.49,114.51,114.48,114.51,4
USDJPY,20010103,063800,114.50,114.51,114.50,114.50,4
USDJPY,20010103,063900,114.50,114.50,114.50,114.50,4
USDJPY,20010103,064000,114.50,114.50,114.50,114.50,4
USDJPY,20010103,064200,114.50,114.50,114.50,114.50,4
USDJPY,20010103,064300,114.50,114.50,114.50,114.50,4
USDJPY,20010103,064400,114.50,114.50,114.50,114.50,4
USDJPY,20010103,064500,114.50,114.50,114.50,114.50,4
USDJPY,20010103,064600,114.50,114.50,114.50,114.50,4
USDJPY,20010103,064700,114.50,114.53,114.50,114.52,4
USDJPY,20010103,064800,114.52,114.53,114.52,114.53,4
USDJPY,20010103,064900,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065000,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065100,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065200,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065300,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065400,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065500,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065600,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065700,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065800,114.53,114.53,114.53,114.53,4
USDJPY,20010103,065900,114.53,114.53,114.53,114.53,4
USDJPY,20010103,070000,114.53,114.53,114.53,114.53,4
USDJPY,20010103,070100,114.54,114.55,114.53,114.53,4
USDJPY,20010103,070200,114.54,114.54,114.54,114.54,4
USDJPY,20010103,070300,114.54,114.54,114.53,114.54,4
USDJPY,20010103,070400,114.56,114.56,114.56,114.56,4
USDJPY,20010103,070500,114.56,114.56,114.56,114.56,4
USDJPY,20010103,070600,114.56,114.57,114.56,114.56,4
USDJPY,20010103,070700,114.56,114.58,114.56,114.58,4
USDJPY,20010103,070800,114.58,114.60,114.58,114.59,4
USDJPY,20010103,070900,114.59,114.60,114.59,114.59,4
USDJPY,20010103,071000,114.59,114.59,114.58,114.58,4
USDJPY,20010103,071100,114.58,114.58,114.53,114.54,4
